['CVE-2017-0144','Mapping','CWE-732'],
['CVE-2021-3693','belong_to','DOS'],
['CVE-2015-2545','via','sending a specially crafted URL to an authenticated user'],
['CWE-94','Related','CAPEC-242'],
['CWE-94','Related','CAPEC-35'],
['CWE-732','Related','CAPEC-127'],
['CWE-22','Related','CAPEC-126'],
['CWE-20','Related','CAPEC-64'],
['CWE-732','Related','CAPEC-60'],
['CWE-22','Related','CAPEC-78'],
['CWE-22','Related','CAPEC-79'],
['CWE-732','Related','CAPEC-62'],
['CWE-732','Related','CAPEC-61'],
['CWE-732','Related','CAPEC-642'],
['ZIP archive','execute','remote code execution and information disclosure'],
